Consumo Bruto por Gerencia de Control Regional 2017,,,,,,,,,,,
Valores en MWh,,,,,,,,,,,
Act: feb 2018,,,,,,,,,,,
,CEL,ORI,OCC,NOR,NTE,NES,PEN,Total SIN,BCA,BCS,Total SEN
ene,5 042 930,3 815 127,5 348 703,1 402 606,1 810 107,3 717 404,890 019,22 026 896,947 639,180 302,23 154 837
feb,4 651 298,3 618 922,5 008 957,1 305 830,1 668 103,3 549 970,859 813,20 662 892,859 065,165 571,21 687 529
mar,5 200 031,4 119 448,5 755 637,1 657 964,1 999 142,4 168 932,1 001 722,23 902 875,998 933,198 950,25 100 757
abr,4 887 853,4 047 408,5 496 854,1 743 048,2 195 382,4 300 349,1 043 589,23 714 483,1 008 788,203 560,24 926 831
may,5 317 763,4 467 726,6 168 243,2 039 323,2 500 454,4 967 454,1 188 696,26 649 659,1 132 962,213 750,27 996 370
jun,5 108 055,4 199 552,5 932 612,2 461 710,2 730 119,5 363 102,1 118 874,26 914 025,1 357 847,233 625,28 505 497
jul,5 117 060,4 268 497,5 503 684,2 647 746,2 557 581,5 411 342,1 188 032,26 693 942,1 569 911,297 065,28 560 918
ago,5 264 039,4 335 163,5 803 677,2 780 639,2 471 895,5 634 416,1 211 406,27 501 235,1 661 428,312 174,29 474 836
sep,4 955 914,4 044 545,5 304 122,2 482 189,2 376 111,4 891 908,1 134 506,25 189 295,1 251 929,256 354,26 697 578
oct,5 192 371,4 065 377,5 590 747,2 472 463,2 019 808,4 491 902,1 058 327,24 890 995,1 109 841,285 739,26 286 574
nov,4 999 858,3 827 476,5 457 363,1 826 635,1 812 305,4 046 029,906 708,22 876 374,962 650,229 054,24 068 078
dic,4 947 932,3 773 748,5 325 102,1 473 012,1 808 411,3 880 322,896 075,22 104 603,963 892,198 471,23 266 965
Total,60 685 104,48 582 989,66 695 703,24 293 166,25 949 417,54 423 131,12 497 766,293 127 275,13 824 882,2 774 614,309 726 771
